node_id,original_node_id,latitude,longitude,x,y,degree,node_role,road_rank,road_class,importance_score,node_type,node_name,turn_p
R050,3120019302,35.994484221169145,127.11331312823566,210217.44300366865,377438.56410601444,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,189.07308,106,익산IC(북측),0
R051,3570849202,36.04368929724763,128.8078888691198,362924.3607916311,384405.1256928821,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,188.527312,106,신녕IC,0
R052,3580108301,36.37524463790464,128.26923678586823,313897.2554352656,420430.98592862627,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,188.399346,106,상주JC,0
R053,1560004001,35.853319915517204,128.52223962084247,337509.5736049871,362839.432770216,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.898037,106,성서IC,1
R054,3010092701,36.83117832373901,127.17253483995457,215391.50744586883,470291.68305491493,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.305977,106,천안IC,0
R055,3020169301,36.895280943952415,127.18927470295873,216870.74251317474,477408.31396960886,13,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.300785,106,북천안IC,0
R056,3020169201,36.900070890564024,127.18924093533235,216866.67857047482,477939.87661837734,11,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.254363,106,북천안IC,0
R057,2310002701,36.99165762951289,127.15532540999399,213827.28943325175,488098.41707504925,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.246422,106,안성IC(남측),0
R058,2860033802,36.48115389964531,127.08942967778486,208014.0454132532,431438.8754537599,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,187.093281,106,공주분기점,1
R059,2860036101,36.50309975944489,127.10406750226373,209323.15192935773,433875.48501749756,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,186.922775,106,공주IC,1
R060,1560001601,35.83797038788472,128.52784005726662,338042.12447116774,361144.00601286336,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,185.939049,106,남대구IC,1
R061,1560001704,35.845166500387904,128.52490596997052,337764.55888903834,361938.41178887145,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,185.939049,106,성서IC,0
R062,1570186101,35.811905393436476,128.50258609121877,335804.639719393,358216.28847299283,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,185.922557,106,유천IC(남측),1
